gender,height,weight,bmi_category,bmi,age,meals_per_day,exercise_level,bmr,carbs,proteins,fats,calories,fdc_id,food,fiber,protein,fat
1.0,181.0,111.0,Obesity,33.88174964134184,26,3,0,1877.5,281.625,112.65,75.1,2253.0,335508,"Beans, Dry, Pinto, 743 (0% moisture)",4.0,21.8,1.18
1.0,161.0,72.0,Overweight,27.776706145596236,34,2,0,1199.0,179.85,71.94,47.96,1438.8,335596,"Beans, Dry, Pinto, 773 (0% moisture)",4.2,27.9,1.22
1.0,140.0,152.0,Extreme Obesity,77.55102040816328,28,3,0,2017.5,302.625,121.05,80.7,2421.0,332002,"Proximates, Sauce, pasta, RAGU Old World, bottled spaghetti sauce (IN1) - NFY0904RL",0.0,0.0,2.16
0.0,168.0,135.0,Extreme Obesity,47.831632653061234,27,3,0,1455.25,218.288,87.315,58.21,1746.302,321599,"Beans, snap, canned, drained - NFY121205",0.0,0.0,0.39
0.0,176.0,54.0,Weak,17.43285123966942,21,2,0,1672.75,250.912,100.365,66.91,2007.298,2644292,"Beans, pinto, canned, sodium added, drained and rinsed",0.0,6.69375,1.266
1.0,163.0,110.0,Extreme Obesity,41.40163348263014,44,3,0,1316.25,197.438,78.975,52.65,1579.502,746995,"Cheese, American",0.0,0.0,32.0
1.0,172.0,105.0,Obesity,35.49215792320173,22,4,0,1290.25,193.538,77.415,51.61,1548.302,335703,"Beans, Dry, Small Red, 11F-8169 (0% moisture)",4.3,25.5,1.34
1.0,196.0,116.0,Obesity,30.1957517700958,35,3,0,1464.0,219.6,87.84,58.56,1756.8,334780,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 1, upperchoice",0.0,21.7,10.4
0.0,187.0,89.0,Overweight,25.45111384369012,24,3,0,1799.0,269.85,107.94,71.96,2158.8,335243,"Beans, Dry, Dark Red Kidney, 11F-8040 (0% moisture)",4.2,25.4,1.27
1.0,172.0,92.0,Obesity,31.09789075175771,40,3,0,1346.5,201.975,80.79,53.86,1615.8,335618,"Beans, Dry, Pinto, 809 (0% moisture)",4.0,25.3,0.98
1.0,178.0,127.0,Extreme Obesity,40.08332281277616,21,4,0,1421.5,213.225,85.29,56.86,1705.8,330855,"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CT1) ",0.0,26.1,0.0
0.0,164.0,70.0,Overweight,26.026174895895306,22,2,0,1190.25,178.538,71.415,47.61,1428.302,2758976,"Cranberries, dried, sweetened",4.36,0.0,0.0
1.0,143.0,88.0,Extreme Obesity,43.03388918773535,22,2,0,1147.75,172.162,68.865,45.91,1377.298,335697,"Beans, Dry, Small Red, 11F-8142 (0% moisture)",4.8,24.5,1.0
0.0,191.0,54.0,Extremely Weak,14.802225816178286,23,3,1,1424.0,244.75,97.9,65.267,1958.003,324409,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOK",0.0,0.0,0.2
0.0,141.0,143.0,Extreme Obesity,71.92797143000855,21,4,1,1215.25,208.871,83.548,55.699,1670.967,324833,"Proximates, Peanut butter, creamy, store brand/other brand, KROGER (IN,MI) - NFY120CCA",0.0,0.0,51.2
1.0,193.0,54.0,Extremely Weak,14.49703347740879,23,4,4,1722.5,409.094,163.638,109.092,3272.756,790021,"FLOUR, WHOLE WHEAT (UNENRICHED) (ORGANIC)",0.0,0.0,2.5
1.0,190.0,83.0,Normal,22.99168975069252,23,4,1,1790.0,307.656,123.062,82.042,2461.25,334551,"TDF, Tamale, Pork (CA-SB) - NFY090292",2.9,0.0,0.0
1.0,175.0,135.0,Extreme Obesity,44.08163265306123,21,3,3,1562.5,336.914,134.766,89.844,2695.316,2684721,"salmon, Atlantic, farm raised, raw, skin removed",0.0,0.0,13.97
0.0,179.0,158.0,Extreme Obesity,49.3118192316095,20,3,0,1389.0,208.35,83.34,55.56,1666.8,332241,"Proximates, Sauce, pasta, HUNTS original, canned spaghetti sauce (NC1) - NFY0904ZF",0.0,0.0,0.63
0.0,172.0,96.0,Obesity,32.44997295835587,22,3,0,1326.25,198.938,79.575,53.05,1591.502,327864,"Romaine Lettuce, Region 2, n/a, Yes - Fiber - NFY0101RC",1.8,0.0,0.0
0.0,168.0,59.0,Normal,20.904195011337876,30,4,0,1916.25,287.438,114.975,76.65,2299.502,335392,"Beans, Dry, Navy, 546 (0% moisture)",4.5,24.6,1.63
0.0,164.0,82.0,Obesity,30.487804878048784,20,3,0,1230.25,184.538,73.815,49.21,1476.302,334712,"TDF, Pupusas, Bean, flat stuffed corn biscuit (MD,NM) - NFY0901WQ",5.4,0.0,0.0
0.0,194.0,136.0,Obesity,36.13561483685833,30,3,0,1629.0,244.35,97.74,65.16,1954.8,2687088,"tomatoes, whole, canned, solids and liquids, with salt added",0.74,0.0,0.0
0.0,153.0,51.0,Normal,21.78649237472767,36,3,0,1385.0,207.75,83.1,55.4,1662.0,326327,"Carrots, whole, unprepared - Proximates - NF99143A",0.0,0.0,0.35
1.0,178.0,117.0,Obesity,36.92715566216387,23,2,0,1300.0,195.0,78.0,52.0,1560.0,332729,"Olives, Green Manzanilla, Mario - GA, IN",0.0,0.0,14.8
1.0,141.0,80.0,Extreme Obesity,40.239424576228565,19,3,0,1868.75,280.312,112.125,74.75,2242.498,335000,"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 30, upperchoice",0.0,27.0,15.0
1.0,180.0,75.0,Normal,23.148148148148145,25,3,0,1991.25,298.688,119.475,79.65,2389.502,332097,"TDF, Sauce, pasta, PREGO 100% Natural Italian, Traditional, bottled spaghetti sauce (FL1,MO1) - NFY0904UL",1.9,0.0,0.0
0.0,185.0,100.0,Overweight,29.218407596785973,22,4,0,1798.75,269.812,107.925,71.95,2158.498,2645921,"beans, chick peas/garbanzos, canned, sodium added",0.0,0.0,2.98
0.0,197.0,154.0,Obesity,39.68151717385143,41,3,0,1828.75,274.312,109.725,73.15,2194.498,331903,"Proximates, Chicken breasts, boneless, skinless, non-enhanced, braised (IN,NY) - 17A-02-01-Prox",0.0,0.0,3.99
1.0,165.0,104.0,Obesity,38.20018365472912,32,3,0,2065.0,309.75,123.9,82.6,2478.0,2515568,"hazelnuts, raw",8.57,0.0,0.0
0.0,168.0,90.0,Obesity,31.88775510204082,21,3,0,1500.0,225.0,90.0,60.0,1800.0,326850,"Figs, Dried, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CHH",0.0,0.0,1.19
0.0,176.0,122.0,Obesity,39.3853305785124,36,3,0,1099.0,164.85,65.94,43.96,1318.8,328441,"Proximates, Cheese, cheddar, mild, block/chunk KRAFT (PA,CA1,VA) - NFY120WW9",0.0,0.0,33.1
1.0,181.0,51.0,Extremely Weak,15.567290375751655,19,2,0,1350.0,202.5,81.0,54.0,1620.0,335297,"Beans, Dry, Pink, 752 (0% moisture)",4.1,23.0,1.11
1.0,164.0,75.0,Overweight,27.88518738845925,32,4,0,1986.25,297.938,119.175,79.45,2383.502,2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,0.0,0.3375
0.0,166.0,140.0,Extreme Obesity,50.80563216722311,18,3,0,1345.25,201.788,80.715,53.81,1614.302,322035,"MILK, 1% ",0.0,0.0,1.14
0.0,190.0,105.0,Overweight,29.085872576177287,19,2,1,1265.25,217.465,86.986,57.991,1739.723,335485,"Beans, Dry, Pinto, 11F-8037 (0% moisture)",4.3,20.6,1.49
1.0,186.0,118.0,Obesity,34.10798936293212,18,2,1,1643.75,282.52,113.008,75.339,2260.163,335268,"Beans, Dry, Pink, 481 (0% moisture)",4.1,25.7,1.18
1.0,168.0,123.0,Extreme Obesity,43.57993197278912,23,3,0,1451.25,217.688,87.075,58.05,1741.502,1105668,"APPLES, GALA",2.7,0.0,0.0
1.0,198.0,50.0,Extremely Weak,12.753800632588511,21,4,0,1704.0,255.6,102.24,68.16,2044.8,335613,"Beans, Dry, Pinto, 484 (0% moisture)",4.0,24.0,0.98
0.0,175.0,141.0,Extreme Obesity,46.04081632653061,22,4,0,1324.0,198.6,79.44,52.96,1588.8,335278,"Beans, Dry, Pink, 404 (0% moisture)",4.0,22.9,1.29
1.0,145.0,117.0,Extreme Obesity,55.64803804994055,31,2,0,1445.25,216.788,86.715,57.81,1734.302,335640,"Beans, Dry, Pinto, 642 (0% moisture)",4.0,21.9,1.41
0.0,159.0,104.0,Extreme Obesity,41.13761322732486,20,3,3,1119.0,241.284,96.514,64.342,1930.27,326986,"Kiwi, Region 3, n/a, Yes, Fiber  - NFY0100TB",2.4,0.0,0.0
0.0,185.0,140.0,Extreme Obesity,40.90577063550036,23,3,0,1990.0,298.5,119.4,79.6,2388.0,335816,"Beans, Dry, Black, 348 (0% moisture)",4.0,26.0,1.05
0.0,178.0,154.0,Extreme Obesity,48.604974119429365,22,4,0,1297.75,194.662,77.865,51.91,1557.298,327414,"Oranges, Navel, Raw, Region 1, n/a, Yes, Proximates - NFY0103ZP",0.0,0.0,0.07
0.0,183.0,96.0,Overweight,28.6661291767446,21,3,4,1530.0,363.375,145.35,96.9,2907.0,2685582,"Tomato, puree, canned",1.971,1.578125,0.265
0.0,194.0,111.0,Overweight,29.4930385800829,16,3,2,1586.25,307.336,122.934,81.956,2458.684,326837,"Figs, Dried, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CGO",0.0,0.0,1.07
1.0,177.0,61.0,Normal,19.4707778735357,25,2,0,1992.5,298.875,119.55,79.7,2391.0,335914,"Beans, Dry, Small White, 11F-8160 (0% moisture)",4.1,26.2,1.06
1.0,197.0,119.0,Obesity,30.66299054343065,37,3,0,1530.25,229.538,91.815,61.21,1836.302,2646175,"Beef, flank, steak, boneless, choice, raw",0.0,20.13125,9.399
0.0,170.0,156.0,Extreme Obesity,53.97923875432527,22,3,1,1556.25,267.48,106.992,71.328,2139.84,2006573,"mushrooms, hon-shimiji (beech), white",0.0,0.0,0.48
1.0,142.0,69.0,Obesity,34.21940091251736,25,3,0,1164.0,174.6,69.84,46.56,1396.8,2351207,"celery, raw",0.0,0.0,0.26
1.0,160.0,139.0,Extreme Obesity,54.29687499999999,35,3,0,1482.75,222.412,88.965,59.31,1779.298,324819,"TDF, Peanut butter, creamy, store brand/other brand, GREAT VALUE (AL,OK) - NFY120CBK",4.9,0.0,0.0
1.0,195.0,69.0,Weak,18.14595660749507,30,3,0,1576.5,236.475,94.59,63.06,1891.8,335982,"Beans, Dry, Great Northern, 688 (0% moisture)",4.4,25.0,1.33
0.0,190.0,50.0,Extremely Weak,13.850415512465377,28,3,0,1486.25,222.938,89.175,59.45,1783.502,332021,"Proximates, Sauce, pasta, RAGU Old World, bottled spaghetti sauce (NC1) - NFY0904SF",0.0,0.0,1.87
1.0,199.0,156.0,Obesity,39.392944622610536,20,2,0,1365.25,204.788,81.915,54.61,1638.302,328600,"Proximates, Cheese, cheddar, sharp, block/chunk, store brand, ESSENTIAL EVERYDAY (NC,PA) - NFY120X2Q",0.0,0.0,34.2
1.0,154.0,105.0,Extreme Obesity,44.27390791027155,58,2,0,1136.5,170.475,68.19,45.46,1363.8,2758981,"Edamame, frozen, prepared",6.233,0.0,0.0
1.0,161.0,155.0,Extreme Obesity,59.797075730103,21,2,0,1454.0,218.1,87.24,58.16,1744.8,335869,"Beans, Dry, Black, 615 (0% moisture)",4.2,25.1,1.86
0.0,198.0,145.0,Obesity,36.98602183450669,22,3,0,1197.75,179.662,71.865,47.91,1437.298,332168,"Proximates, Sauce, pasta, PREGO 100% Natural Italian, Traditional, bottled spaghetti sauce (MO1) - NFY0904WL",0.0,0.0,1.52
0.0,192.0,140.0,Obesity,37.97743055555556,21,2,0,1615.25,242.288,96.915,64.61,1938.302,2346384,"Cottage cheese, full fat, large or small curd",0.0,11.62436,4.225
1.0,195.0,126.0,Obesity,33.13609467455621,20,3,0,1467.5,220.125,88.05,58.7,1761.0,336014,"Beans, Dry, Great Northern, 656 (0% moisture)",4.1,21.8,1.08
1.0,166.0,160.0,Extreme Obesity,58.06357961968356,26,2,2,1397.75,270.814,108.326,72.217,2166.513,335688,"Beans, Dry, Pinto, 677 (0% moisture)",4.0,25.1,1.19
1.0,159.0,154.0,Extreme Obesity,60.915311894307976,37,2,1,1518.75,261.035,104.414,69.609,2088.277,334219,"Proximates, Sugar, Granulated, White, Name brand (FL1, MO1, NY1) - NFY040XE7",0.0,0.0,0.11
0.0,181.0,106.0,Obesity,32.35554470254266,41,3,0,1685.25,252.788,101.115,67.41,2022.302,335603,"Beans, Dry, Pinto, 362 (0% moisture)",3.8,22.8,1.23
1.0,149.0,66.0,Overweight,29.72839061303545,46,3,1,1079.0,185.453,74.181,49.454,1483.622,334809,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 30, upperchoice",0.0,23.6,4.97
0.0,150.0,70.0,Obesity,31.11111111111111,35,3,0,1539.0,230.85,92.34,61.56,1846.8,328600,"Proximates, Cheese, cheddar, sharp, block/chunk, store brand, ESSENTIAL EVERYDAY (NC,PA) - NFY120X2Q",0.0,0.0,34.2
0.0,146.0,157.0,Extreme Obesity,73.65359354475513,25,3,0,1564.0,234.6,93.84,62.56,1876.8,327069,"Cantaloupe, raw, Region 3, n/a, Yes - Proximates,  NF0009H6, NF0009I0",0.0,0.0,0.18
1.0,190.0,135.0,Obesity,37.39612188365651,25,3,1,1962.5,337.305,134.922,89.948,2698.44,332642,"Olives, Green Manzanilla, Store Brand - IA, TX",0.0,0.0,12.2
0.0,192.0,90.0,Normal,24.4140625,22,3,0,1376.25,206.438,82.575,55.05,1651.502,327010,"Kiwi, Region 1, n/a, Yes, Proximates  - NFY0100RA",0.0,0.0,0.27
0.0,177.0,96.0,Obesity,30.642535669826675,26,3,0,1476.25,221.438,88.575,59.05,1771.502,324860,"Peanut butter, smooth style, with salt",4.8,22.5,51.1
1.0,148.0,60.0,Overweight,27.39225712198685,24,2,4,1585.0,376.438,150.575,100.383,3011.499,334840,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 33, lowerchoice",0.0,22.7,4.19
0.0,165.0,57.0,Normal,20.936639118457304,18,3,0,1280.25,192.038,76.815,51.21,1536.302,336000,"Beans, Dry, Great Northern, 789 (0% moisture)",4.2,24.0,1.1
0.0,146.0,104.0,Extreme Obesity,48.78964158378683,18,2,0,1349.0,202.35,80.94,53.96,1618.8,335602,"Beans, Dry, Pinto, 704 (0% moisture)",4.5,26.8,1.06
1.0,144.0,108.0,Extreme Obesity,52.083333333333336,23,3,0,1881.25,282.188,112.875,75.25,2257.502,332585,"Bartlett Pears, Pass 2, Freeze Dried, Regions 2 & 3, n/a, Yes - Fiber, NFY0108TX",2.5,0.0,0.0
0.0,176.0,156.0,Extreme Obesity,50.36157024793389,26,3,0,1680.25,252.038,100.815,67.21,2016.302,329375,"Whole eggs, dried",0.0,0.0,39.1
0.0,168.0,87.0,Obesity,30.824829931972797,40,3,0,1039.0,155.85,62.34,41.56,1246.8,334751,"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 14, lowerchoice",0.0,23.8,6.9
1.0,187.0,122.0,Obesity,34.888043695844885,25,2,3,1304.0,281.175,112.47,74.98,2249.4,323511,Whole eggs,0.0,0.0,11.5
1.0,187.0,138.0,Obesity,39.46352483628356,35,4,0,1970.0,295.5,118.2,78.8,2364.0,336042,"Beans, Dry, Great Northern, 683 (0% moisture)",4.3,24.3,1.12
0.0,184.0,160.0,Extreme Obesity,47.25897920604915,22,2,0,1567.5,235.125,94.05,62.7,1881.0,335875,"Beans, Dry, Black, 545 (0% moisture)",3.8,24.4,1.38
0.0,158.0,149.0,Extreme Obesity,59.68594776478128,22,4,0,1691.5,253.725,101.49,67.66,2029.8,2646175,"Beef, flank, steak, boneless, choice, raw",0.0,20.13125,9.399
1.0,158.0,96.0,Obesity,38.45537574106713,34,3,0,1973.75,296.062,118.425,78.95,2368.498,335796,"Beans, Dry, Black, 11F-8039 (0% moisture)",4.2,25.7,1.28
1.0,194.0,115.0,Obesity,30.55585078116697,25,4,0,1892.5,283.875,113.55,75.7,2271.0,329117,"Proximates, Mozzarella cheese, low-moisture, part-skim, store brand, KROGER (MI,IN) - NFY120DMN",0.0,0.0,20.0
0.0,145.0,79.0,Obesity,37.5743162901308,25,2,0,1722.5,258.375,103.35,68.9,2067.0,334919,"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 10, select",0.0,24.9,2.35
1.0,182.0,151.0,Extreme Obesity,45.58628185001811,25,2,0,1175.25,176.288,70.515,47.01,1410.302,335300,"Beans, Dry, Pink, 433 (0% moisture)",4.0,20.7,1.6
1.0,154.0,54.0,Normal,22.76943835385394,24,4,1,1647.5,283.164,113.266,75.51,2265.31,335840,"Beans, Dry, Black, 274 (0% moisture)",4.0,24.0,1.33
0.0,168.0,139.0,Extreme Obesity,49.248866213151935,41,4,0,1482.75,222.412,88.965,59.31,1779.298,335938,"Beans, Dry, Great Northern, 11F-8141 (0% moisture)",4.3,26.6,1.31
0.0,187.0,70.0,Normal,20.0177299894192,39,2,0,1372.75,205.912,82.365,54.91,1647.298,335715,"Beans, Dry, Small Red, 772 (0% moisture)",4.1,21.9,1.27
0.0,158.0,153.0,Extreme Obesity,61.28825508732574,18,3,0,1795.0,269.25,107.7,71.8,2154.0,332122,"Proximates, Sauce, pasta, PREGO 100% Natural Italian, Traditional, bottled spaghetti sauce (NY1) - NFY0904V9",0.0,0.0,1.9
0.0,167.0,110.0,Obesity,39.442073935960416,23,4,4,1831.25,434.922,173.969,115.979,3479.375,334888,"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 10, select",0.0,29.1,5.15
0.0,171.0,155.0,Extreme Obesity,53.00776307239835,23,3,0,1412.75,211.912,84.765,56.51,1695.298,335761,"Beans, Dry, Small Red, 759 (0% moisture)",4.1,24.0,1.13
0.0,183.0,150.0,Extreme Obesity,44.79082683866344,26,2,0,1796.25,269.438,107.775,71.85,2155.502,335481,"Beans, Dry, Pinto, 11F-8078 (0% moisture)",4.7,22.4,1.29
0.0,190.0,156.0,Extreme Obesity,43.21329639889197,17,2,0,1888.75,283.312,113.325,75.55,2266.498,790021,"FLOUR, WHOLE WHEAT (UNENRICHED) (ORGANIC)",0.0,0.0,2.5
1.0,194.0,108.0,Overweight,28.69592942926985,22,3,0,2075.0,311.25,124.5,83.0,2490.0,335472,"Beans, Dry, Pinto, 11F-8176 (0% moisture)",4.7,25.4,1.13
