gender,height,weight,bmi_category,bmi
1,159,154,Extreme Obesity,60.915311894307976
0,181,106,Obesity,32.35554470254266
1,149,66,Overweight,29.72839061303545
0,150,70,Obesity,31.11111111111111
0,146,157,Extreme Obesity,73.65359354475513
1,190,135,Obesity,37.39612188365651
0,192,90,Normal,24.4140625
0,177,96,Obesity,30.642535669826675
1,148,60,Overweight,27.39225712198685
0,165,57,Normal,20.936639118457304
0,146,104,Extreme Obesity,48.78964158378683
1,144,108,Extreme Obesity,52.083333333333336
0,176,156,Extreme Obesity,50.361570247933884
0,168,87,Obesity,30.824829931972793
1,187,122,Obesity,34.888043695844885
1,187,138,Obesity,39.46352483628356
0,184,160,Extreme Obesity,47.25897920604915
0,158,149,Extreme Obesity,59.685947764781275
1,158,96,Obesity,38.45537574106713
1,194,115,Obesity,30.55585078116697
0,145,79,Obesity,37.574316290130795
1,182,151,Extreme Obesity,45.58628185001811
1,154,54,Normal,22.76943835385394
0,168,139,Extreme Obesity,49.248866213151935
0,187,70,Normal,20.0177299894192
0,158,153,Extreme Obesity,61.28825508732574
0,167,110,Obesity,39.442073935960416
0,171,155,Extreme Obesity,53.00776307239835
0,183,150,Extreme Obesity,44.790826838663435
0,190,156,Extreme Obesity,43.21329639889197
1,194,108,Overweight,28.69592942926985
1,171,147,Extreme Obesity,50.27187852672618
1,159,124,Extreme Obesity,49.04869269411811
0,169,54,Normal,18.906901018871892
0,167,85,Obesity,30.477966223242138
1,180,149,Extreme Obesity,45.98765432098765
1,163,123,Extreme Obesity,46.29455380330461
1,140,79,Extreme Obesity,40.3061224489796
1,197,125,Obesity,32.20902368007421
1,194,106,Overweight,28.164523328727814
0,140,146,Extreme Obesity,74.48979591836736
1,195,98,Overweight,25.77251808021039
0,168,115,Overweight,40.74546485260772
0,196,50,Extremely Weak,13.015410245730946
1,140,52,Overweight,26.530612244897963
0,150,60,Overweight,26.666666666666668
0,168,140,Extreme Obesity,49.60317460317461
0,155,111,Extreme Obesity,46.20187304890738
0,179,103,Obesity,32.14631253706189
0,182,84,Overweight,25.359256128486894
1,168,160,Extreme Obesity,56.689342403628125
0,187,102,Overweight,29.168692270296543
1,181,105,Obesity,32.05030371478282
1,199,99,Normal,24.999368702810536
0,184,76,Normal,22.448015122873343
1,192,101,Overweight,27.39800347222222
0,182,143,Extreme Obesity,43.17111459968603
0,172,111,Obesity,37.52028123309898
1,181,78,Normal,23.808797045267237
1,176,109,Obesity,35.18853305785124
0,156,106,Extreme Obesity,43.5568704799474
0,151,67,Overweight,29.384676110696898
0,188,80,Normal,22.634676324128566
1,187,136,Obesity,38.891589693728726
1,174,138,Extreme Obesity,45.58065794688862
1,167,151,Extreme Obesity,54.14321058481839
0,196,131,Obesity,34.10037484381508
1,197,149,Obesity,38.39315622664846
0,185,119,Obesity,34.76990504017531
0,170,102,Obesity,35.294117647058826
0,181,94,Overweight,28.692652849424622
0,166,126,Extreme Obesity,45.7250689505008
1,188,100,Overweight,28.293345405160707
0,162,74,Overweight,28.19692120103642
1,177,117,Obesity,37.34559034760126
1,162,97,Obesity,36.96082914189909
1,180,73,Normal,22.530864197530864
0,192,108,Overweight,29.296875
1,165,80,Overweight,29.384756657483933
0,167,135,Extreme Obesity,48.40618164867869
0,161,134,Extreme Obesity,51.69553643763743
1,158,95,Obesity,38.05479891043102
1,141,85,Extreme Obesity,42.75438861224285
1,154,100,Extreme Obesity,42.165626581211
1,165,105,Obesity,38.567493112947666
0,142,137,Extreme Obesity,67.9428684784765
1,141,94,Extreme Obesity,47.281323877068566
1,145,108,Extreme Obesity,51.36741973840666
1,157,74,Obesity,30.021501886486266
0,177,117,Obesity,37.34559034760126
0,166,144,Extreme Obesity,52.2572216577152
1,193,151,Extreme Obesity,40.538001020161616
1,184,57,Weak,16.836011342155007
1,179,93,Overweight,29.025311319871417
0,156,89,Obesity,36.571334648257725
1,182,104,Obesity,31.397174254317108
1,145,160,Extreme Obesity,76.09988109393579
0,150,87,Obesity,38.666666666666664
1,145,99,Extreme Obesity,47.08680142687277
0,196,122,Obesity,31.75760099958351
1,191,96,Overweight,26.315068117650284
0,148,67,Obesity,30.58802045288532
0,150,84,Obesity,37.333333333333336
1,148,155,Extreme Obesity,70.76333089846604
0,153,146,Extreme Obesity,62.369174249220386
0,196,159,Extreme Obesity,41.38900458142441
0,185,52,Extremely Weak,15.193571950328705
0,171,131,Extreme Obesity,44.800109435381835
0,143,118,Extreme Obesity,57.70453322900876
0,142,86,Extreme Obesity,42.65026780400714
0,141,126,Extreme Obesity,63.37709370755999
1,159,109,Extreme Obesity,43.11538309402317
0,173,82,Normal,27.39817568244846
1,183,138,Extreme Obesity,41.207560691570364
0,152,90,Obesity,38.95429362880886
1,178,140,Extreme Obesity,44.186340108572146
1,188,54,Extremely Weak,15.278406518786783
0,155,144,Extreme Obesity,59.93756503642039
1,166,70,Overweight,25.402816083611555
1,188,123,Obesity,34.80081484834767
0,171,120,Extreme Obesity,41.03826818508259
1,179,130,Extreme Obesity,40.57301582347617
0,186,137,Obesity,39.59995375187882
0,153,78,Normal,33.320517749583495
0,184,86,Overweight,25.401701323251416
0,177,81,Overweight,25.854639471416256
1,145,78,Obesity,37.098692033293695
1,170,81,Overweight,28.027681660899656
1,181,141,Extreme Obesity,43.03897927413693
1,165,155,Extreme Obesity,56.932966023875125
0,174,65,Normal,21.469150482230148
0,146,110,Extreme Obesity,51.604428598236076
1,178,85,Overweight,26.82742078020452
1,166,61,Normal,22.136739730004358
1,191,62,Weak,16.995148159315807
0,177,155,Extreme Obesity,49.47492738357432
0,183,50,Extremely Weak,14.930275612887812
1,151,114,Extreme Obesity,49.997807113723084
1,182,98,Overweight,29.585798816568044
0,142,159,Extreme Obesity,78.85340210275739
0,188,90,Overweight,25.46401086464464
1,161,89,Obesity,34.33509509663978
1,153,70,Overweight,29.903028749626213
1,140,143,Extreme Obesity,72.9591836734694
1,169,141,Extreme Obesity,49.368019327054384
0,162,159,Extreme Obesity,60.58527663465934
1,183,147,Extreme Obesity,43.89501030189017
0,162,58,Normal,22.10028959000152
0,172,109,Obesity,36.84424012979989
0,150,119,Extreme Obesity,52.888888888888886
0,169,145,Extreme Obesity,50.76853051363749
0,184,132,Obesity,38.98865784499055
1,159,104,Extreme Obesity,41.13761322732486
1,163,131,Extreme Obesity,49.30558169295043
1,156,137,Extreme Obesity,56.295200525969754
0,157,52,Normal,21.096190514828187
1,147,84,Obesity,38.87269193391643
1,141,86,Extreme Obesity,43.25738141944571
1,173,139,Extreme Obesity,46.44324902268703
1,154,145,Extreme Obesity,61.14015854275595
1,168,148,Extreme Obesity,52.437641723356016
1,168,50,Weak,17.71541950113379
1,145,130,Extreme Obesity,61.83115338882283
1,152,103,Extreme Obesity,44.58102493074792
0,187,121,Obesity,34.60207612456747
0,163,57,Extremely Weak,21.453573713726524
1,178,83,Overweight,26.19618735008206
0,187,94,Overweight,26.88095170007721
0,179,114,Obesity,35.57941387597141
1,190,80,Normal,22.1606648199446
1,172,75,Overweight,25.351541373715524
1,188,57,Weak,16.127206880941603
1,193,65,Weak,17.450132889473544
0,147,126,Extreme Obesity,58.30903790087464
0,147,94,Extreme Obesity,43.50039335462076
1,166,107,Obesity,38.83001887066338
0,192,139,Obesity,37.70616319444444
1,181,139,Obesity,42.42849729861726
1,150,74,Obesity,32.888888888888886
1,178,160,Extreme Obesity,50.49867440979674
0,156,52,Normal,21.367521367521366
1,149,100,Extreme Obesity,45.04301608035674
1,156,74,Obesity,30.407626561472714
1,183,105,Overweight,31.353578787064404
0,162,68,Overweight,25.910684346898332
0,165,83,Obesity,30.48668503213958
0,168,143,Extreme Obesity,50.666099773242635
1,160,156,Extreme Obesity,60.937499999999986
0,169,88,Normal,30.811246104828268
0,140,76,Obesity,38.77551020408164
0,187,92,Overweight,26.309016557522373
1,151,82,Obesity,35.963334941449936
0,186,140,Extreme Obesity,40.46710602381778
1,182,108,Obesity,32.60475787948315
1,188,81,Normal,22.917609778180175
1,179,110,Obesity,34.331013389095226
0,156,126,Extreme Obesity,51.77514792899408
1,188,114,Obesity,32.25441376188321
1,183,153,Extreme Obesity,45.6866433754367
1,144,88,Extreme Obesity,42.43827160493827
1,196,69,Weak,17.961266139108705
1,171,141,Extreme Obesity,48.21996511747205
0,180,156,Extreme Obesity,48.148148148148145
1,191,146,Extreme Obesity,40.02083276225981
0,179,67,Normal,20.91070815517618
0,180,60,Normal,18.51851851851852
0,154,132,Extreme Obesity,55.65862708719852
1,188,99,Overweight,28.010411951109102
1,142,135,Extreme Obesity,66.95100178536005
1,170,95,Obesity,32.871972318339104
1,152,141,Extreme Obesity,61.02839335180055
0,190,118,Obesity,32.686980609418285
0,181,111,Obesity,33.88174964134184
1,153,104,Extreme Obesity,44.42735699944466
1,187,140,Extreme Obesity,40.0354599788384
0,144,66,Obesity,31.828703703703706
0,148,54,Normal,24.653031409788166
0,199,92,Normal,23.23173657230878
0,164,71,Overweight,26.397977394408095
0,185,102,Overweight,29.802775748721693
0,164,160,Extreme Obesity,59.48839976204641
1,142,71,Obesity,35.2112676056338
1,165,68,Normal,24.977043158861342
0,172,62,Normal,20.9572742022715
0,157,56,Normal,22.7189744005842
1,155,57,Normal,23.725286160249738
0,167,153,Extreme Obesity,54.86033920183585
0,164,126,Extreme Obesity,46.84711481261155
0,189,125,Obesity,34.993421236807485
0,161,145,Extreme Obesity,55.93919987654797
0,155,71,Overweight,29.552549427679498
0,171,118,Obesity,40.35429704866455
0,154,92,Obesity,38.792376454714116
1,179,83,Overweight,25.90431010268094
1,170,115,Obesity,39.7923875432526
0,184,106,Obesity,31.30907372400756
0,191,68,Normal,18.63983991666895
1,162,58,Normal,22.10028959000152
1,178,138,Extreme Obesity,43.55510667844969
0,157,60,Normal,24.341758286340216
1,184,83,Normal,24.515595463137995
1,197,88,Normal,22.675152670772242
0,160,51,Normal,19.921874999999996
1,184,153,Extreme Obesity,45.1913988657845
1,190,50,Extremely Weak,13.850415512465375
0,189,124,Obesity,34.71347386691302
0,186,143,Extreme Obesity,41.334258295756726
0,180,58,Weak,17.901234567901234
0,186,148,Obesity,42.77951208232165
0,193,61,Weak,16.376278557813635
1,161,103,Obesity,39.73612129161683
0,151,158,Extreme Obesity,69.29520635059866
0,195,147,Obesity,38.658777120315584
0,184,152,Extreme Obesity,44.89603024574669
0,185,94,Overweight,27.465303140978815
0,186,127,Obesity,36.70944617874898
1,142,131,Extreme Obesity,64.96726839912716
0,147,67,Obesity,31.005599518719055
1,151,62,Overweight,27.19178983377922
0,160,124,Extreme Obesity,48.43749999999999
1,185,60,Weak,17.531044558071585
0,163,63,Normal,23.711844630960897
1,174,95,Obesity,31.37798916633637
0,150,144,Extreme Obesity,64.0
1,142,91,Extreme Obesity,45.12993453679825
1,178,142,Extreme Obesity,44.81757353869461
0,154,96,Extreme Obesity,40.47900151796256
1,176,87,Overweight,28.08626033057851
1,159,120,Extreme Obesity,47.46647680075946
1,151,154,Extreme Obesity,67.54089732906452
0,182,149,Extreme Obesity,44.98249003743509
0,197,72,Normal,18.552397639722745
1,146,138,Extreme Obesity,64.74010133233253
0,160,83,Obesity,32.42187499999999
0,157,66,Overweight,26.775934114974238
0,150,50,Normal,22.22222222222222
0,167,58,Normal,20.796729893506402
0,180,70,Normal,21.604938271604937
0,183,76,Normal,22.694018931589476
0,183,87,Overweight,25.97867956642479
0,152,154,Extreme Obesity,66.6551246537396
1,187,96,Overweight,27.45288684263204
1,169,136,Extreme Obesity,47.6173803438255
0,149,61,Overweight,27.476239809017613
1,163,137,Extreme Obesity,51.5638526101848
1,174,107,Obesity,35.34152463997886
1,182,70,Normal,21.132713440405748
1,169,110,Obesity,38.514057631035335
1,193,130,Obesity,34.90026577894709
1,148,141,Extreme Obesity,64.3718042366691
1,186,68,Normal,19.65545149728292
1,165,143,Extreme Obesity,52.52525252525253
0,146,123,Extreme Obesity,57.70313379620943
0,166,133,Extreme Obesity,48.265350558861954
1,179,56,Weak,17.477606816266658
0,177,101,Obesity,32.23850106929682
1,181,154,Extreme Obesity,47.007112115014806
0,161,154,Extreme Obesity,59.411288144747495
0,157,103,Extreme Obesity,41.78668505821737
0,169,98,Obesity,34.31252407128602
0,152,114,Extreme Obesity,49.3421052631579
0,162,64,Normal,24.38652644413961
1,162,130,Extreme Obesity,49.53513183965858
0,177,61,Normal,19.4707778735357
0,195,61,Weak,16.04207758053912
1,140,146,Extreme Obesity,74.48979591836736
0,186,146,Extreme Obesity,42.20141056769568
0,178,107,Obesity,33.77098851155157
1,174,54,Weak,17.8359096313912
0,180,59,Weak,18.209876543209877
1,188,141,Obesity,39.8936170212766
0,187,130,Obesity,37.17578426606422
0,153,77,Obesity,32.89333162458883
0,165,95,Obesity,34.894398530762174
0,178,79,Normal,24.933720489837143
0,163,154,Extreme Obesity,57.96228687568219
0,150,97,Extreme Obesity,43.111111111111114
1,179,127,Obesity,39.63671545831903
1,165,62,Normal,22.77318640955005
1,168,158,Extreme Obesity,55.98072562358278
0,153,133,Extreme Obesity,56.8157546242898
1,184,157,Extreme Obesity,46.37287334593572
1,188,65,Weak,18.390674513354462
0,166,153,Extreme Obesity,55.5232980113224
0,172,116,Obesity,39.21038399134668
1,182,73,Normal,22.03840115928028
1,143,149,Extreme Obesity,72.86419873832462
1,152,146,Extreme Obesity,63.192520775623265
0,186,128,Obesity,36.99849693606197
1,159,140,Extreme Obesity,55.377556267552706
1,146,70,Obesity,32.839181835241135
0,176,121,Obesity,39.0625
0,146,101,Extreme Obesity,47.38224807656221
1,159,145,Extreme Obesity,57.355326134251015
1,162,157,Extreme Obesity,59.82319768327998
0,172,90,Obesity,30.42184964845863
0,169,121,Extreme Obesity,42.365463394138864
1,182,50,Extremely Weak,15.094795314575533
0,183,79,Normal,23.589835468362743
1,176,77,Normal,24.857954545454547
0,188,128,Obesity,36.215482118605706
0,175,83,Normal,27.102040816326532
1,154,81,Obesity,34.15415753078091
0,184,147,Extreme Obesity,43.41918714555765
1,179,123,Obesity,38.38831497144284
1,152,132,Extreme Obesity,57.13296398891967
0,145,141,Extreme Obesity,67.06302021403091
0,181,80,Normal,24.41927902078691
1,158,127,Extreme Obesity,50.87325749078673
0,188,99,Overweight,28.010411951109102
1,145,142,Extreme Obesity,67.53864447086801
1,161,115,Extreme Obesity,44.36557231588287
1,198,109,Overweight,27.803285379042954
1,147,142,Extreme Obesity,65.71336017400158
1,154,112,Extreme Obesity,47.22550177095632
0,178,65,Normal,20.515086478979924
1,195,153,Extreme Obesity,40.23668639053255
0,167,79,Overweight,28.326580372189753
1,183,131,Obesity,39.117322105766064
0,164,142,Extreme Obesity,52.79595478881619
1,167,64,Normal,22.948115744558788
0,151,55,Normal,24.121749046094468
0,147,107,Extreme Obesity,49.5164052015364
0,155,115,Extreme Obesity,47.86680541103017
0,172,108,Obesity,36.50621957815036
1,146,85,Obesity,39.876149371364235
0,188,115,Obesity,32.537347215934815
1,173,111,Obesity,37.08777439941194
0,160,109,Extreme Obesity,42.57812499999999
1,187,80,Normal,22.877405702193368
1,198,136,Obesity,34.690337720640755
0,179,150,Extreme Obesity,46.81501825785712
0,164,59,Normal,21.936347412254616
0,146,147,Extreme Obesity,68.96228185400639
0,198,50,Extremely Weak,12.753800632588511
0,170,53,Weak,18.339100346020764
1,152,98,Extreme Obesity,42.41689750692521
0,150,153,Extreme Obesity,68.0
0,184,121,Obesity,35.73960302457467
0,141,136,Extreme Obesity,68.40702177958856
1,150,95,Extreme Obesity,42.22222222222222
1,173,131,Extreme Obesity,43.77025627317986
