age,meals_per_day,exercise_level,bmr,carbs,proteins,fats,calories
25,4,0,1575.25,236.288,94.515,63.01,1890.302
25,4,0,1614.0,242.1,96.84,64.56,1936.8
21,3,0,1690.0,253.5,101.4,67.6,2028.0
30,3,0,1167.75,175.162,70.065,46.71,1401.298
20,2,0,1375.0,206.25,82.5,55.0,1650.0
25,2,0,1592.5,238.875,95.55,63.7,1911.0
24,2,0,1815.0,272.25,108.9,72.6,2178.0
24,3,0,1886.25,282.938,113.175,75.45,2263.502
22,4,0,1330.25,199.538,79.815,53.21,1596.302
29,3,1,1821.25,313.027,125.211,83.474,2504.218
24,3,1,1688.75,290.254,116.102,77.401,2322.033
30,3,0,1746.25,261.938,104.775,69.85,2095.502
19,2,0,1350.25,202.538,81.015,54.01,1620.302
29,2,0,1872.5,280.875,112.35,74.9,2247.0
30,3,0,1414.0,212.1,84.84,56.56,1696.8
22,3,2,1678.75,325.258,130.103,86.735,2602.059
22,2,0,1895.0,284.25,113.7,75.8,2274.0
61,4,0,1112.75,166.912,66.765,44.51,1335.298
34,3,0,1905.0,285.75,114.3,76.2,2286.0
21,2,0,1314.0,197.1,78.84,52.56,1576.8
20,4,0,1858.75,278.812,111.525,74.35,2230.498
23,2,0,1681.25,252.188,100.875,67.25,2017.502
23,3,1,1713.75,294.551,117.82,78.547,2356.407
23,2,1,1490.0,256.094,102.438,68.292,2048.756
22,3,0,1345.0,201.75,80.7,53.8,1614.0
21,2,0,1540.0,231.0,92.4,61.6,1848.0
32,3,0,1444.0,216.6,86.64,57.76,1732.8
23,3,0,1540.0,231.0,92.4,61.6,1848.0
24,3,0,1399.0,209.85,83.94,55.96,1678.8
28,2,0,1369.0,205.35,82.14,54.76,1642.8
23,2,0,2208.75,331.312,132.525,88.35,2650.498
23,4,0,1635.0,245.25,98.1,65.4,1962.0
43,3,0,1638.75,245.812,98.325,65.55,1966.498
26,3,0,1995.0,299.25,119.7,79.8,2394.0
23,4,0,1571.25,235.688,94.275,62.85,1885.502
27,2,0,1570.0,235.5,94.2,62.8,1884.0
23,4,0,1722.5,258.375,103.35,68.9,2067.0
23,3,0,1930.0,289.5,115.8,77.2,2316.0
26,3,2,1758.75,340.758,136.303,90.869,2726.065
28,3,0,2228.75,334.312,133.725,89.15,2674.498
60,2,0,1289.0,193.35,77.34,51.56,1546.8
25,4,0,2063.75,309.562,123.825,82.55,2476.498
29,3,0,1430.0,214.5,85.8,57.2,1716.0
33,4,0,1691.25,253.688,101.475,67.65,2029.502
23,3,0,2021.25,303.188,121.275,80.85,2425.502
22,3,0,1465.0,219.75,87.9,58.6,1758.0
38,3,0,1344.0,201.6,80.64,53.76,1612.8
23,3,4,1692.5,401.969,160.788,107.192,3215.756
24,3,0,1808.75,271.312,108.525,72.35,2170.498
19,3,0,1612.75,241.912,96.765,64.51,1935.298
34,4,0,1737.5,260.625,104.25,69.5,2085.0
25,3,0,1680.0,252.0,100.8,67.2,2016.0
23,4,2,1761.25,341.242,136.497,90.998,2729.938
21,2,1,1585.25,272.465,108.986,72.657,2179.717
23,3,0,1650.0,247.5,99.0,66.0,1980.0
24,3,0,1140.25,171.038,68.415,45.61,1368.302
50,2,1,1080.25,185.668,74.267,49.511,1485.339
21,3,0,1805.0,270.75,108.3,72.2,2166.0
28,3,0,1475.25,221.288,88.515,59.01,1770.302
18,3,1,2057.5,353.633,141.453,94.302,2829.062
23,3,0,2102.5,315.375,126.15,84.1,2523.0
22,3,0,1406.25,210.938,84.375,56.25,1687.502
18,3,0,1680.25,252.038,100.815,67.21,2016.302
22,3,1,1493.75,256.738,102.695,68.464,2053.908
22,2,0,1393.75,209.062,83.625,55.75,1672.498
21,3,0,1634.0,245.1,98.04,65.36,1960.8
21,2,0,1322.75,198.412,79.365,52.91,1587.298
20,2,0,1536.25,230.438,92.175,61.45,1843.502
24,4,0,1570.25,235.538,94.215,62.81,1884.302
37,3,0,1075.25,161.288,64.515,43.01,1290.302
22,4,0,1626.25,243.938,97.575,65.05,1951.502
34,4,1,1622.5,278.867,111.547,74.365,2230.941
21,3,0,1235.25,185.288,74.115,49.41,1482.302
27,2,1,1728.75,297.129,118.852,79.234,2377.03
19,3,0,1575.25,236.288,94.515,63.01,1890.302
26,3,0,1690.25,253.538,101.415,67.61,2028.302
21,2,1,1608.75,276.504,110.602,73.734,2212.03
31,3,0,1721.25,258.188,103.275,68.85,2065.502
34,3,0,1389.0,208.35,83.34,55.56,1666.8
20,2,0,1365.0,204.75,81.9,54.6,1638.0
21,3,0,1881.25,282.188,112.875,75.25,2257.502
35,2,0,1350.0,202.5,81.0,54.0,1620.0
16,3,0,1720.25,258.037,103.215,68.81,2064.298
18,2,0,1716.25,257.438,102.975,68.65,2059.502
23,3,3,1785.0,384.891,153.956,102.637,3079.121
22,3,0,1865.0,279.75,111.9,74.6,2238.0
45,2,0,1802.5,270.375,108.15,72.1,2163.0
18,2,0,1653.75,248.062,99.225,66.15,1984.498
18,2,1,1367.75,235.082,94.033,62.689,1880.661
22,2,1,1756.25,301.855,120.742,80.495,2414.843
28,2,0,1319.0,197.85,79.14,52.76,1582.8
22,2,0,1357.75,203.662,81.465,54.31,1629.298
21,3,0,1664.0,249.6,99.84,66.56,1996.8
21,3,0,1165.25,174.788,69.915,46.61,1398.302
30,3,0,1673.75,251.062,100.425,66.95,2008.498
22,2,0,1529.0,229.35,91.74,61.16,1834.8
20,2,0,1506.25,225.938,90.375,60.25,1807.502
23,3,0,1374.0,206.1,82.44,54.96,1648.8
75,3,1,1475.0,253.516,101.406,67.604,2028.124
22,4,0,1625.25,243.788,97.515,65.01,1950.302
22,2,0,1260.25,189.038,75.615,50.41,1512.302
30,3,0,1710.25,256.537,102.615,68.41,2052.298
26,2,1,1155.25,198.559,79.423,52.949,1588.469
20,2,4,1187.75,282.091,112.836,75.224,2256.724
22,2,0,1469.0,220.35,88.14,58.76,1762.8
28,3,0,1647.75,247.162,98.865,65.91,1977.298
21,2,1,1762.5,302.93,121.172,80.781,2423.437
20,3,0,1196.5,179.475,71.79,47.86,1435.8
40,3,0,1526.5,228.975,91.59,61.06,1831.8
24,2,0,1124.0,168.6,67.44,44.96,1348.8
40,3,0,1397.5,209.625,83.85,55.9,1677.0
23,3,0,1872.5,280.875,112.35,74.9,2247.0
49,3,0,1632.75,244.912,97.965,65.31,1959.298
19,2,0,1763.75,264.562,105.825,70.55,2116.498
24,3,0,1387.75,208.162,83.265,55.51,1665.298
22,4,0,1170.25,175.538,70.215,46.81,1404.302
30,3,0,1437.5,215.625,86.25,57.5,1725.0
28,2,0,1673.75,251.062,100.425,66.95,2008.498
16,2,1,1390.25,238.949,95.58,63.72,1911.596
29,3,0,1422.5,213.375,85.35,56.9,1707.0
30,4,0,1975.0,296.25,118.5,79.0,2370.0
37,3,0,1612.75,241.912,96.765,64.51,1935.298
22,2,0,1380.25,207.038,82.815,55.21,1656.302
25,3,2,1662.5,322.109,128.844,85.896,2576.876
24,3,0,2105.0,315.75,126.3,84.2,2526.0
23,3,3,1324.0,285.488,114.195,76.13,2283.902
23,2,0,1492.75,223.912,89.565,59.71,1791.298
19,2,1,1670.0,287.031,114.812,76.542,2296.25
